perspective,current_score_0_10,potential_ceiling_0_10,evidence_known,main_gap,upgrade_needed,continue_or_stop_note
Big question and economic importance,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
Novel contribution and originality,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
Literature positioning,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
"Theory, mechanism, or conceptual clarity",NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
Data quality and construction transparency,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
Identification or empirical-design credibility,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
"Execution, reproducibility, and robustness",NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
Result strength and economic magnitude,NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
"Claim discipline, limitations, and referee risk",NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
"Writing, tables, figures, and whole-paper coherence",NEEDS_SCORE,NEEDS_SCORE,NEEDS_EVIDENCE,NEEDS_INPUT,NEEDS_INPUT,NEEDS_DECISION
